state,winning_fragrance,score,second_place,second_score
Alabama,Old Spice,57,Polo Blue,56
Alaska,Coco Mademoiselle,100,Old Spice,76
Arizona,Old Spice,56,Glossier You,45
Arkansas,Old Spice,58,Glossier You,56
California,Old Spice,57,Polo Blue,49
Colorado,Old Spice,65,Glossier You,48
Connecticut,Old Spice,61,Polo Blue,55
Delaware,Old Spice,60,Glossier You,59
District of Columbia,Old Spice,63,Polo Blue,60
Florida,Old Spice,51,Polo Blue,49
Georgia,Old Spice,57,Polo Blue,50
Hawaii,Old Spice,65,Polo Blue,52
Idaho,Old Spice,72,Glossier You,58
Illinois,Old Spice,58,Polo Blue,48
Indiana,Old Spice,61,Glossier You,53
Iowa,Old Spice,67,Coco Mademoiselle,55
Kansas,Old Spice,66,Glossier You,61
Kentucky,Old Spice,63,Glossier You,52
Louisiana,Polo Blue,56,Old Spice,52
Maine,Old Spice,70,Coco Mademoiselle,53
Maryland,Old Spice,58,Polo Blue,48
Massachusetts,Old Spice,58,Polo Blue,50
Michigan,Old Spice,62,Glossier You,51
Minnesota,Old Spice,67,Glossier You,58
Mississippi,Polo Blue,58,Glossier You,54
Missouri,Old Spice,62,Glossier You,53
Montana,Marc Jacobs Daisy,100,Coco Mademoiselle,100
Nebraska,Old Spice,68,Glossier You,58
Nevada,Old Spice,53,Versace Eros,43
New Hampshire,Old Spice,71,Glossier You,57
New Jersey,Old Spice,54,Polo Blue,49
New Mexico,Ariana Grande Cloud,60,Old Spice,57
New York,Old Spice,58,Polo Blue,54
North Carolina,Old Spice,62,Polo Blue,49
North Dakota,Glossier You,97,Old Spice,66
Ohio,Old Spice,65,Glossier You,51
Oklahoma,Old Spice,62,Glossier You,49
Oregon,Old Spice,67,Glossier You,54
Pennsylvania,Old Spice,66,Glossier You,52
Rhode Island,Old Spice,63,Glossier You,60
South Carolina,Old Spice,62,Polo Blue,55
South Dakota,Coco Mademoiselle,100,Marc Jacobs Daisy,68
Tennessee,Old Spice,60,Glossier You,50
Texas,Old Spice,53,Polo Blue,48
Utah,Old Spice,67,Glossier You,51
Vermont,Glossier You,100,Coco Mademoiselle,100
Virginia,Old Spice,60,Polo Blue,47
Washington,Old Spice,63,Glossier You,47
West Virginia,Old Spice,70,Marc Jacobs Daisy,55
Wisconsin,Old Spice,65,Glossier You,52
Wyoming,Old Spice,74,Polo Blue,63
